,Mg Loading,K Loading,Ca Loading,Sc Loading,Cr Loading,Mn Loading,Fe Loading,Co Loading,Ni Loading,Cu Loading,Zn Loading,Sr Loading,Y Loading,Mo Loading,Ru Loading,Rh Loading,Pd Loading,In Loading,Hf Loading,W Loading,Re Loading,Os Loading,Ir Loading,Pt Loading,Bi Loading,reactor_number,temperature,space_velocity,ammonia_concentration,standard error,n_averaged,n_elements,Atomic Number_wt-mean,Atomic Number_wt-mad,Atomic Volume_wt-mean,Atomic Volume_wt-mad,Atomic Weight_wt-mean,Atomic Weight_wt-mad,Boiling Temperature_wt-mean,Boiling Temperature_wt-mad,Periodic Table Column_wt-mean,Periodic Table Column_wt-mad,Covalent Radius_wt-mean,Covalent Radius_wt-mad,Density_wt-mean,Density_wt-mad,Dipole Polarizability_wt-mean,Dipole Polarizability_wt-mad,Electron Affinity_wt-mean,Electron Affinity_wt-mad,Electronegativity_wt-mean,Electronegativity_wt-mad,Fusion Enthalpy_wt-mean,Fusion Enthalpy_wt-mad,GS Bandgap_wt-mean,GS Bandgap_wt-mad,GS Energy_wt-mean,GS Energy_wt-mad,Heat Capacity (Mass)_wt-mean,Heat Capacity (Mass)_wt-mad,Heat Capacity (Molar)_wt-mean,Heat Capacity (Molar)_wt-mad,Heat Fusion_wt-mean,Heat Fusion_wt-mad,First Ionization Energy_wt-mean,First Ionization Energy_wt-mad,Second Ionization Energy_wt-mean,Second Ionization Energy_wt-mad,Third Ionization Energy_wt-mean,Third Ionization Energy_wt-mad,Fourth Ionization Energy_wt-mean,Fourth Ionization Energy_wt-mad,Fifth Ionization Energy_wt-mean,Fifth Ionization Energy_wt-mad,Sixth Ionization Energy_wt-mean,Sixth Ionization Energy_wt-mad,Seventh Ionization Energy_wt-mean,Seventh Ionization Energy_wt-mad,Eighth Ionization Energy_wt-mean,Eighth Ionization Energy_wt-mad,IsAlkali_wt-mean,IsAlkali_wt-mad,IsDBlock_wt-mean,IsDBlock_wt-mad,IsFBlock_wt-mean,IsFBlock_wt-mad,IsMetal_wt-mean,IsMetal_wt-mad,IsMetalloid_wt-mean,IsMetalloid_wt-mad,IsNonmetal_wt-mean,IsNonmetal_wt-mad,Melting Temperature_wt-mean,Melting Temperature_wt-mad,Mendeleev Number_wt-mean,Mendeleev Number_wt-mad,Number d-shell Unfilled Electrons_wt-mean,Number d-shell Unfilled Electrons_wt-mad,Number d-shell Valance Electrons_wt-mean,Number d-shell Valance Electrons_wt-mad,Number f-shell Unfilled Electrons_wt-mean,Number f-shell Unfilled Electrons_wt-mad,Number f-shell Valance Electrons_wt-mean,Number f-shell Valance Electrons_wt-mad,Number p-shell Unfilled Electrons_wt-mean,Number p-shell Unfilled Electrons_wt-mad,Number p-shell Valance Electrons_wt-mean,Number p-shell Valance Electrons_wt-mad,Number s-shell Unfilled Electrons_wt-mean,Number s-shell Unfilled Electrons_wt-mad,Number s-shell Valance Electrons_wt-mean,Number s-shell Valance Electrons_wt-mad,Number Unfilled Electrons_wt-mean,Number Unfilled Electrons_wt-mad,Number Valence Electrons_wt-mean,Number Valence Electrons_wt-mad,Polarizability_wt-mean,Polarizability_wt-mad,Periodic Table Row_wt-mean,Periodic Table Row_wt-mad,Zunger Pseudopotential (d)_wt-mean,Zunger Pseudopotential (d)_wt-mad,Zunger Pseudopotential (p)_wt-mean,Zunger Pseudopotential (p)_wt-mad,Zunger Pseudopotential (pi)_wt-mean,Zunger Pseudopotential (pi)_wt-mad,Zunger Pseudopotential (s)_wt-mean,Zunger Pseudopotential (s)_wt-mad,Zunger Pseudopotential (sigma)_wt-mean,Zunger Pseudopotential (sigma)_wt-mad,phi_wt-mean,phi_wt-mad,Conductivity_wt-mean,Conductivity_wt-mad,Measured Conversion,Element Dictionary,predictions
93_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,14.0,300.0,2442.711443,1.01,0.018575461,2.0,3.0,31.0625,1428.875,60.492078328750004,2099.600861112869,70.55441250000001,7675.73918200375,2150.875,8118836.166666667,2.5625,13.666666666666666,189.6875,31614.583333333332,5356.375,61144806.083333336,34.84125,726.2077874999999,45.349999999999994,2482.1566666666663,1.10875,1.81835,10.553125,263.84571354166667,0.0,0.0,-3.72601208975,-28.20491922401381,0.6083124999999999,0.22953658333333335,28.481250000000003,751.3353750000001,10.553125,263.84571354166667,5.184313725000001,33.7579755819061,24.77,599.31015,36.133875,1341.9398497500001,45.6825,2782.5210749999997,61.995,5124.5067,74.55000000000001,7410.270000000001,88.17,10365.2652,116.16,17990.8608,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1063.8975,2270545.220225,15.875,597.9583333333333,1.125,3.0,1.375,5.5,0.0,0.0,2.625,12.25,0.0,0.0,0.0,0.0,0.8125,0.5416666666666666,1.1875,1.5833333333333335,1.9375,6.458333333333334,5.1875,51.875,34.84125,726.2077874999999,4.4375,22.1875,0.41156249999999994,0.19000468749999994,1.9831249999999998,3.3713124999999993,0.5334375,0.21782031250000003,1.4496875,1.8725130208333334,3.4328125000000003,10.269830729166667,3.0,12.850000000000003,93.1875,8309.21875,0.115003504,"dict_items([('Ru', 1), ('Re', 3.0), ('K', 12)])",0.31624252924499974
61_300_0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,300.0,2271.047228,1.027874564,0.00225699,3.0,3.0,23.8125,666.75,60.992956894375006,2326.3740476322114,51.084094500000006,3152.300913348678,1797.25,5126955.166666666,2.4375,9.75,190.25,32913.25,3147.9375,17010404.9375,35.335,831.9036833333333,56.425,3156.038333333333,1.1125,1.6242500000000004,9.868125000000001,180.99785937500002,0.0,0.0,-2.93999314725,-16.246094777959904,0.647875,0.337542875,28.306250000000002,747.0962916666667,9.868125000000001,180.99785937500002,5.04568435,30.71586131509528,27.664985625,564.2713691490187,41.23991625,1361.366201471575,50.2755875,3378.5043973237503,67.723125,5902.4089593749995,81.46750000000002,8557.346200000002,96.795,12368.465100000001,126.04124999999999,19724.195212500003,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,854.585,1355237.9250166665,13.4375,313.5416666666667,1.125,4.5,1.375,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.625,1.0625,1.4166666666666665,2.0625,9.625,2.4375,9.75,35.335,831.9036833333333,4.1875,18.145833333333332,0.38125,0.14360416666666664,1.9818749999999998,3.3956125000000004,0.5359375000000001,0.22062760416666666,1.4459375,1.8821286458333337,3.4278125,10.3348546875,2.903125,10.548020833333332,99.8,7827.6466666666665,0.99774301,"dict_items([('Ru', 3), ('Sc', 1.0), ('K', 12)])",0.780070399780001
51_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,12.0,300.0,1909.9646460000001,1.2126592859999998,0.012289353000000001,3.0,3.0,30.875,1409.9583333333335,60.707403364375004,2130.313309114594,70.1106,7572.13877266,2143.1875,8060528.1875,2.375,11.875,191.75,32661.416666666668,5024.5,54391887.333333336,35.10375,748.0609125,57.36874999999999,4365.761874999999,1.195,2.143033333333334,13.971250000000001,434.2031645833334,0.0,0.0,-3.8275944991250004,-29.66509993680724,0.607375,0.22817054166666664,28.254375000000003,733.9544812500002,13.971250000000001,434.2031645833334,5.19003435,33.84800843046329,27.78875,597.3654958333334,36.133875,1341.9398497500001,45.6825,2782.5210749999997,61.995,5124.5067,74.55000000000001,7410.270000000001,88.17,10365.2652,116.16,17990.8608,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1108.1475,2452156.8077249997,15.3125,561.4583333333333,1.3125,3.9375,1.1875,4.354166666666666,0.0,0.0,2.625,12.25,0.0,0.0,0.0,0.0,0.8125,0.5416666666666666,1.1875,1.5833333333333335,2.125,7.791666666666667,5.0,48.333333333333336,35.10375,748.0609125,4.4375,22.1875,0.41625,0.1956375,1.9878124999999998,3.3958463541666664,0.5325,0.21655000000000002,1.4553125,1.8943317708333336,3.443125,10.36380625,2.925,12.138749999999998,84.1875,6159.71875,0.288939823,"dict_items([('Ru', 1), ('W', 3.0), ('K', 12)])",0.5561293824100002
57_300_0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,300.0,2310.452261,0.910625108,0.028828092000000003,3.0,3.0,20.75,574.0833333333334,65.78461327937501,2902.262026319912,43.155225,2592.8565439725,1379.875,3317219.5,1.625,5.958333333333333,194.375,34015.625,1705.75,8401387.333333332,37.847499999375,991.1419193860244,43.075624999999995,2183.5034312499997,0.94,1.2596,5.764375,95.04493645833332,0.0,0.0,-1.7631311763125002,-7.193870728350249,0.7039375,0.38528845833333336,28.5654375,757.8315350625,5.764375,95.04493645833332,4.861746225,28.869573018234846,26.9959475,542.2740764599,45.68008125,1906.2160865381252,58.295625,3736.16660625,77.83875,6505.762725,94.94625000000002,9882.955162500002,112.02000000000001,13709.0076,143.76749999999998,21717.51855,0.9375,0.625,0.0625,0.020833333333333332,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,624.3975,844711.995225,7.0625,155.375,0.1875,0.1875,0.4375,1.0208333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.5416666666666666,1.1875,1.5833333333333335,1.0,1.6666666666666667,1.625,5.958333333333333,37.847499999375,991.1419193860244,4.0625,17.604166666666664,0.36937499999999995,0.142825,2.01875,3.5597291666666657,0.5446875,0.23330781250000004,1.4740625,1.9678734375,3.4928125000000003,10.821897395833332,2.503125,8.510625,121.875,17082.8125,0.26243880199999997,"dict_items([('Ru', 1), ('Ca', 3.0), ('K', 12)])",0.5906191549900001
73_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300.0,1963.090452,1.0899898890000002,0.047738585,4.0,3.0,24.875,837.4583333333333,62.887570635625,3034.09196755672,53.750600000000006,4081.2525993266668,1706.75,4044997.5,2.375,8.708333333333332,191.8125,34782.0,3125.75,16520630.666666666,35.819375,935.8408708333333,55.608124999999994,2868.081727083333,1.086875,1.438297916666667,9.451250000000002,152.33839791666668,0.0,0.0,-2.652324429125,-10.587183416077446,0.6315,0.2738605,28.385625000000005,761.2078437499999,9.451250000000002,152.33839791666668,4.99151935,28.944178999935787,27.55438125,545.761363104375,42.37325,1654.9014031666666,49.245,2903.2389749999998,66.47,5126.831099999999,80.22500000000001,7629.397500000001,94.795,10596.1851,123.80375,17157.9617125,0.8125,0.5416666666666666,0.1875,0.0625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,806.835,1074039.9258499998,13.25,295.91666666666663,0.5625,0.5625,1.3125,3.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.625,1.0625,1.4166666666666665,1.5,2.5,2.375,8.708333333333332,35.819375,935.8408708333333,4.25,19.833333333333336,0.4014375,0.19442956249999999,1.998125,3.596625,0.5396875,0.23296510416666666,1.4584375,1.9956286458333334,3.4565625,10.951542187499998,2.85,9.547500000000001,101.025,8583.7575,0.842363016,"dict_items([('Ru', 3), ('Sr', 1.0), ('K', 12)])",0.8608101026199994
41_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,300.0,2276.708543,1.046207498,0.026677706000000002,5.0,3.0,23.25,705.25,59.949543366250005,2005.452578073169,49.29415,3267.5728230183336,1725.125,4968935.041666667,3.0,19.0,186.0,29326.0,3301.75,24360311.5,34.4725,685.1983916666666,62.9625,5492.428749999999,1.1287500000000001,1.8549125000000002,8.760000000000002,170.54260000000002,0.0,0.0,-2.6657745522500003,-14.073954840797889,0.653,0.3132223333333333,28.466250000000002,756.5380375000001,8.760000000000002,170.54260000000002,5.130534975,33.076496220280475,28.088605,623.1816553394,42.312,1543.908464,52.544999999999995,3042.6182249999997,71.5025,5674.4384,88.05000000000001,9130.785000000002,104.795,13128.717600000002,136.41,21612.8004,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,794.2725,1236822.6039749999,16.875,675.0,0.625,1.0416666666666667,1.875,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.5833333333333334,1.125,1.5,1.5,3.5,3.0,19.0,34.4725,685.1983916666666,4.125,17.875,0.35812499999999997,0.121165625,1.9474999999999998,3.1354749999999996,0.529375,0.20910312500000003,1.418125,1.7230218750000001,3.365625,9.507890625,3.0125,12.90354166666667,102.8625,10642.839999999998,0.397457438,"dict_items([('Ru', 2), ('Ni', 2.0), ('K', 12)])",0.33603782640000013
90_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,10.0,300.0,2540.703518,0.93,0.013594981,2.0,3.0,31.4375,1467.0833333333333,60.38674387375001,2084.636742708867,71.6812875,7941.935416691251,1931.875,6540040.833333334,2.9375,17.625,187.8125,30676.041666666668,5645.125,67338814.41666666,34.4475,693.8874749999999,70.94375,7110.928541666666,1.165,2.0271000000000003,11.873125,324.71018020833327,0.0,0.0,-3.05691527975,-19.503817208395084,0.6071875,0.2278977083333333,28.410000000000004,745.8571999999999,11.873125,324.71018020833327,5.3968449750000005,37.18099372832798,24.77,599.31015,36.133875,1341.9398497500001,45.6825,2782.5210749999997,61.995,5124.5067,74.55000000000001,7410.270000000001,88.17,10365.2652,116.16,17990.8608,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,928.8975,1759495.9702249998,17.0,674.3333333333333,0.75,1.5,1.75,8.166666666666668,0.0,0.0,2.625,12.25,0.0,0.0,0.0,0.0,0.8125,0.5416666666666666,1.1875,1.5833333333333335,1.5625,4.166666666666666,5.5625,59.333333333333336,34.4475,693.8874749999999,4.4375,22.1875,0.40425,0.18137350000000002,1.9789999999999999,3.349787333333333,0.5349375000000001,0.21985931250000001,1.4440625,1.8508067708333331,3.4230625000000003,10.181328895833335,3.065625,13.488749999999998,111.75,13652.125,0.16996720699999998,"dict_items([('Ru', 1), ('Ir', 3.0), ('K', 12)])",0.3430174280350002
50_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,11.0,300.0,2233.793103,1.054006969,0.020450405,3.0,3.0,29.0,1324.3333333333333,60.56422461375001,2125.288953251305,64.937475,7013.4269603474995,2055.375,7730265.375,2.5,12.5,190.75,32491.083333333336,4594.5,49736994.0,35.01,746.0631,58.787499999999994,4473.728749999999,1.185,2.1251000000000007,13.113750000000001,407.5534937500001,0.0,0.0,-3.5923340584999996,-27.84175514834719,0.614,0.2306593333333333,28.24125,733.6135375000001,13.113750000000001,407.5534937500001,5.1585637250000005,33.64276547666435,27.83,598.2522333333334,37.913250000000005,1408.0222785,45.6825,2782.5210749999997,61.995,5124.5067,74.55000000000001,7410.270000000001,88.17,10365.2652,116.16,17990.8608,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1040.1475,2301683.461058333,15.625,572.9166666666666,1.125,3.375,1.375,5.041666666666666,0.0,0.0,1.75,8.166666666666668,0.0,0.0,0.0,0.0,0.875,0.5833333333333334,1.125,1.5,2.0,7.333333333333333,4.25,41.08333333333333,35.01,746.0631,4.375,21.875,0.4075,0.191525,1.9843749999999998,3.389973958333333,0.5337500000000001,0.21705833333333335,1.450625,1.8882302083333335,3.435,10.33935,2.9625,12.294374999999999,91.5,6694.75,0.38292821,"dict_items([('Ru', 2), ('W', 2.0), ('K', 12)])",0.44178307383000004
58_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,14.0,300.0,2248.3080809999997,1.064773736,0.040118522999999996,3.0,3.0,27.0,1215.0,60.82166941125001,2264.278237769116,59.429975,6312.618267514166,1908.0625,6570731.229166666,2.5,10.833333333333332,190.5625,33284.916666666664,3793.25,33552560.666666668,35.235,810.7573500000001,55.293749999999996,2759.158125,1.1087500000000001,1.5966,10.686875,242.68111979166665,0.0,0.0,-3.1692922875625005,-21.388996506190917,0.621375,0.23591537499999998,28.319375,749.4250604166668,10.686875,242.68111979166665,5.0621581,31.260907320694905,27.802500000000002,587.466825,41.148875000000004,1338.3808756666665,47.765625,2250.7162499999995,61.995,5124.5067,74.55000000000001,7410.270000000001,88.17,10365.2652,116.16,17990.8608,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,897.835,1630926.2558499998,15.5625,539.5,1.0625,3.895833333333333,1.4375,4.3125,0.0,0.0,0.875,4.083333333333334,0.0,0.0,0.0,0.0,0.9375,0.625,1.0625,1.4166666666666665,2.0,8.666666666666666,3.375,30.375,35.235,810.7573500000001,4.3125,21.5625,0.40125,0.19393749999999998,1.986875,3.4571625000000004,0.5359375000000001,0.22062760416666666,1.4509375,1.9273286458333336,3.4378125,10.548354687500002,2.9250000000000003,10.96875,100.25,8103.541666666667,0.792496931,"dict_items([('Ru', 3), ('Hf', 1.0), ('K', 12)])",0.5997703558249999
86_300_0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,300.0,2111.275,0.93,0.007846155,2.0,3.0,25.0,875.0,60.5194928975,2116.5002085351393,53.952475,4246.568734180833,1940.875,6707017.041666666,2.5,12.5,189.75,31814.75,3473.25,27214071.5,35.2225,770.5508916666666,57.949999999999996,4280.573333333333,1.1600000000000001,2.0029333333333335,11.26,294.28009999999995,0.0,0.0,-3.3282474522500003,-23.451143353197235,0.628875,0.26119275,28.215000000000003,730.9566,11.26,294.28009999999995,5.062113725000001,31.71176886199935,27.8375,598.9702083333334,41.304500000000004,1396.1747090000001,51.482499999999995,2762.2935375,68.80624999999999,4718.38859375,83.15345,6994.352662610001,103.878,12632.811335999999,134.10999999999999,20014.5764,0.75,0.25,0.25,0.16666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,940.2725,1830249.823975,15.5,563.1666666666667,1.0,2.6666666666666665,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,7.333333333333333,2.5,12.5,35.2225,770.5508916666666,4.25,19.833333333333336,0.39499999999999996,0.17248333333333332,1.9825,3.376858333333333,0.531875,0.21363645833333336,1.450625,1.8882302083333335,3.433125,10.316540625000002,2.94375,12.069375000000003,108.75,12959.375,0.007846155,"dict_items([('Ru', 2), ('Mo', 2.0), ('K', 12)])",0.25889253815
